id,order_id,goods_id,qty,created_at,updated_at
501,1120,33,3,2024-11-01 01:00:00,2024-11-01 01:00:00
502,1120,150,2,2024-11-01 01:00:00,2024-11-01 01:00:00
503,1120,54,3,2024-11-01 01:00:00,2024-11-01 01:00:00
504,1121,121,3,2024-11-01 01:00:00,2024-11-01 01:00:00
505,1122,17,1,2024-11-01 01:00:00,2024-11-01 01:00:00
506,1122,131,2,2024-11-01 01:00:00,2024-11-01 01:00:00
507,1122,193,3,2024-11-01 01:00:00,2024-11-01 01:00:00
508,1122,193,3,2024-11-01 01:00:00,2024-11-01 01:00:00
509,1122,96,2,2024-11-01 01:00:00,2024-11-01 01:00:00
510,1123,119,1,2024-11-01 01:00:00,2024-11-01 01:00:00
511,1123,83,3,2024-11-01 01:00:00,2024-11-01 01:00:00
512,1123,96,3,2024-11-01 01:00:00,2024-11-01 01:00:00
513,1123,178,2,2024-11-01 01:00:00,2024-11-01 01:00:00
514,1123,184,2,2024-11-01 01:00:00,2024-11-01 01:00:00
515,1124,69,3,2024-11-01 01:00:00,2024-11-01 01:00:00
516,1124,103,3,2024-11-01 01:00:00,2024-11-01 01:00:00
517,1124,150,3,2024-11-01 01:00:00,2024-11-01 01:00:00
518,1124,10,1,2024-11-01 01:00:00,2024-11-01 01:00:00
519,1125,52,2,2024-11-01 01:00:00,2024-11-01 01:00:00
520,1125,61,2,2024-11-01 01:00:00,2024-11-01 01:00:00
521,1126,79,2,2024-11-01 01:00:00,2024-11-01 01:00:00
522,1126,97,3,2024-11-01 01:00:00,2024-11-01 01:00:00
523,1127,96,2,2024-11-01 01:00:00,2024-11-01 01:00:00
524,1127,141,1,2024-11-01 01:00:00,2024-11-01 01:00:00
525,1128,193,1,2024-11-01 01:00:00,2024-11-01 01:00:00
526,1128,76,2,2024-11-01 01:00:00,2024-11-01 01:00:00
527,1129,91,1,2024-11-01 01:00:00,2024-11-01 01:00:00
528,1129,150,1,2024-11-01 01:00:00,2024-11-01 01:00:00
529,1129,120,3,2024-11-01 01:00:00,2024-11-01 01:00:00
530,1129,160,2,2024-11-01 01:00:00,2024-11-01 01:00:00
531,1129,110,2,2024-11-01 01:00:00,2024-11-01 01:00:00
