id,order_id,goods_id,qty,created_at,updated_at
501,1140,101,1,2024-11-01 03:00:00,2024-11-01 03:00:00
502,1140,137,2,2024-11-01 03:00:00,2024-11-01 03:00:00
503,1141,122,1,2024-11-01 03:00:00,2024-11-01 03:00:00
504,1141,85,3,2024-11-01 03:00:00,2024-11-01 03:00:00
505,1142,164,2,2024-11-01 03:00:00,2024-11-01 03:00:00
506,1142,24,1,2024-11-01 03:00:00,2024-11-01 03:00:00
507,1142,27,3,2024-11-01 03:00:00,2024-11-01 03:00:00
508,1142,142,1,2024-11-01 03:00:00,2024-11-01 03:00:00
509,1143,177,3,2024-11-01 03:00:00,2024-11-01 03:00:00
510,1144,7,1,2024-11-01 03:00:00,2024-11-01 03:00:00
511,1144,51,1,2024-11-01 03:00:00,2024-11-01 03:00:00
512,1144,99,2,2024-11-01 03:00:00,2024-11-01 03:00:00
513,1144,53,1,2024-11-01 03:00:00,2024-11-01 03:00:00
514,1145,169,3,2024-11-01 03:00:00,2024-11-01 03:00:00
515,1145,18,2,2024-11-01 03:00:00,2024-11-01 03:00:00
516,1145,15,2,2024-11-01 03:00:00,2024-11-01 03:00:00
517,1146,3,1,2024-11-01 03:00:00,2024-11-01 03:00:00
518,1146,84,2,2024-11-01 03:00:00,2024-11-01 03:00:00
519,1146,101,1,2024-11-01 03:00:00,2024-11-01 03:00:00
520,1146,29,1,2024-11-01 03:00:00,2024-11-01 03:00:00
521,1146,138,2,2024-11-01 03:00:00,2024-11-01 03:00:00
522,1147,191,1,2024-11-01 03:00:00,2024-11-01 03:00:00
523,1147,100,1,2024-11-01 03:00:00,2024-11-01 03:00:00
524,1147,34,1,2024-11-01 03:00:00,2024-11-01 03:00:00
525,1147,80,2,2024-11-01 03:00:00,2024-11-01 03:00:00
526,1148,41,3,2024-11-01 03:00:00,2024-11-01 03:00:00
527,1148,148,2,2024-11-01 03:00:00,2024-11-01 03:00:00
528,1148,151,1,2024-11-01 03:00:00,2024-11-01 03:00:00
529,1148,129,3,2024-11-01 03:00:00,2024-11-01 03:00:00
530,1149,71,1,2024-11-01 03:00:00,2024-11-01 03:00:00
531,1149,2,1,2024-11-01 03:00:00,2024-11-01 03:00:00
532,1149,115,1,2024-11-01 03:00:00,2024-11-01 03:00:00
533,1149,103,3,2024-11-01 03:00:00,2024-11-01 03:00:00
