id,order_id,goods_id,qty,created_at,updated_at
501,1020,69,1,2024-10-31 15:00:00,2024-10-31 15:00:00
502,1020,177,3,2024-10-31 15:00:00,2024-10-31 15:00:00
503,1020,155,3,2024-10-31 15:00:00,2024-10-31 15:00:00
504,1020,27,3,2024-10-31 15:00:00,2024-10-31 15:00:00
505,1020,13,2,2024-10-31 15:00:00,2024-10-31 15:00:00
506,1021,194,1,2024-10-31 15:00:00,2024-10-31 15:00:00
507,1021,28,3,2024-10-31 15:00:00,2024-10-31 15:00:00
508,1021,157,1,2024-10-31 15:00:00,2024-10-31 15:00:00
509,1021,144,1,2024-10-31 15:00:00,2024-10-31 15:00:00
510,1022,27,1,2024-10-31 15:00:00,2024-10-31 15:00:00
511,1022,162,1,2024-10-31 15:00:00,2024-10-31 15:00:00
512,1022,53,2,2024-10-31 15:00:00,2024-10-31 15:00:00
513,1022,41,3,2024-10-31 15:00:00,2024-10-31 15:00:00
514,1022,75,3,2024-10-31 15:00:00,2024-10-31 15:00:00
515,1023,196,3,2024-10-31 15:00:00,2024-10-31 15:00:00
516,1023,128,3,2024-10-31 15:00:00,2024-10-31 15:00:00
517,1023,26,1,2024-10-31 15:00:00,2024-10-31 15:00:00
518,1023,166,2,2024-10-31 15:00:00,2024-10-31 15:00:00
519,1024,36,1,2024-10-31 15:00:00,2024-10-31 15:00:00
520,1024,52,2,2024-10-31 15:00:00,2024-10-31 15:00:00
521,1024,107,1,2024-10-31 15:00:00,2024-10-31 15:00:00
522,1025,122,2,2024-10-31 15:00:00,2024-10-31 15:00:00
523,1025,74,3,2024-10-31 15:00:00,2024-10-31 15:00:00
524,1026,22,2,2024-10-31 15:00:00,2024-10-31 15:00:00
525,1026,96,3,2024-10-31 15:00:00,2024-10-31 15:00:00
526,1027,93,3,2024-10-31 15:00:00,2024-10-31 15:00:00
527,1027,171,1,2024-10-31 15:00:00,2024-10-31 15:00:00
528,1027,39,3,2024-10-31 15:00:00,2024-10-31 15:00:00
529,1027,108,1,2024-10-31 15:00:00,2024-10-31 15:00:00
530,1028,110,2,2024-10-31 15:00:00,2024-10-31 15:00:00
531,1028,105,2,2024-10-31 15:00:00,2024-10-31 15:00:00
532,1029,175,2,2024-10-31 15:00:00,2024-10-31 15:00:00
533,1029,8,2,2024-10-31 15:00:00,2024-10-31 15:00:00
534,1029,38,1,2024-10-31 15:00:00,2024-10-31 15:00:00
535,1029,184,3,2024-10-31 15:00:00,2024-10-31 15:00:00
536,1029,18,1,2024-10-31 15:00:00,2024-10-31 15:00:00
