id,order_id,goods_id,qty,created_at,updated_at
501,1040,27,2,2024-10-31 17:00:00,2024-10-31 17:00:00
502,1040,133,3,2024-10-31 17:00:00,2024-10-31 17:00:00
503,1041,200,2,2024-10-31 17:00:00,2024-10-31 17:00:00
504,1041,117,1,2024-10-31 17:00:00,2024-10-31 17:00:00
505,1042,183,2,2024-10-31 17:00:00,2024-10-31 17:00:00
506,1042,106,1,2024-10-31 17:00:00,2024-10-31 17:00:00
507,1043,16,2,2024-10-31 17:00:00,2024-10-31 17:00:00
508,1044,122,1,2024-10-31 17:00:00,2024-10-31 17:00:00
509,1044,115,1,2024-10-31 17:00:00,2024-10-31 17:00:00
510,1045,174,3,2024-10-31 17:00:00,2024-10-31 17:00:00
511,1045,104,3,2024-10-31 17:00:00,2024-10-31 17:00:00
512,1045,144,3,2024-10-31 17:00:00,2024-10-31 17:00:00
513,1046,68,3,2024-10-31 17:00:00,2024-10-31 17:00:00
514,1046,128,3,2024-10-31 17:00:00,2024-10-31 17:00:00
515,1046,109,2,2024-10-31 17:00:00,2024-10-31 17:00:00
516,1046,177,2,2024-10-31 17:00:00,2024-10-31 17:00:00
517,1047,42,1,2024-10-31 17:00:00,2024-10-31 17:00:00
518,1047,130,1,2024-10-31 17:00:00,2024-10-31 17:00:00
519,1047,125,3,2024-10-31 17:00:00,2024-10-31 17:00:00
520,1047,118,1,2024-10-31 17:00:00,2024-10-31 17:00:00
521,1048,136,1,2024-10-31 17:00:00,2024-10-31 17:00:00
522,1048,178,1,2024-10-31 17:00:00,2024-10-31 17:00:00
523,1048,117,2,2024-10-31 17:00:00,2024-10-31 17:00:00
524,1048,9,3,2024-10-31 17:00:00,2024-10-31 17:00:00
525,1048,41,3,2024-10-31 17:00:00,2024-10-31 17:00:00
526,1049,31,3,2024-10-31 17:00:00,2024-10-31 17:00:00
527,1049,105,1,2024-10-31 17:00:00,2024-10-31 17:00:00
528,1049,31,2,2024-10-31 17:00:00,2024-10-31 17:00:00
