id,order_id,goods_id,qty,created_at,updated_at
1,1,49,2,2024-10-31 13:00:00,2024-10-31 13:00:00
2,1,12,3,2024-10-31 13:00:00,2024-10-31 13:00:00
3,1,112,1,2024-10-31 13:00:00,2024-10-31 13:00:00
4,1,134,3,2024-10-31 13:00:00,2024-10-31 13:00:00
5,1,176,3,2024-10-31 13:00:00,2024-10-31 13:00:00
6,2,18,3,2024-10-31 13:00:00,2024-10-31 13:00:00
7,2,85,3,2024-10-31 13:00:00,2024-10-31 13:00:00
8,2,81,3,2024-10-31 13:00:00,2024-10-31 13:00:00
9,2,32,3,2024-10-31 13:00:00,2024-10-31 13:00:00
10,3,171,2,2024-10-31 13:00:00,2024-10-31 13:00:00
11,3,84,2,2024-10-31 13:00:00,2024-10-31 13:00:00
12,3,179,2,2024-10-31 13:00:00,2024-10-31 13:00:00
13,4,171,2,2024-10-31 13:00:00,2024-10-31 13:00:00
14,4,174,3,2024-10-31 13:00:00,2024-10-31 13:00:00
15,4,45,3,2024-10-31 13:00:00,2024-10-31 13:00:00
16,4,146,2,2024-10-31 13:00:00,2024-10-31 13:00:00
17,5,78,2,2024-10-31 13:00:00,2024-10-31 13:00:00
18,6,156,3,2024-10-31 13:00:00,2024-10-31 13:00:00
19,6,83,2,2024-10-31 13:00:00,2024-10-31 13:00:00
20,6,114,2,2024-10-31 13:00:00,2024-10-31 13:00:00
21,6,173,1,2024-10-31 13:00:00,2024-10-31 13:00:00
22,6,131,2,2024-10-31 13:00:00,2024-10-31 13:00:00
23,7,73,3,2024-10-31 13:00:00,2024-10-31 13:00:00
24,8,173,2,2024-10-31 13:00:00,2024-10-31 13:00:00
25,8,58,1,2024-10-31 13:00:00,2024-10-31 13:00:00
26,9,63,2,2024-10-31 13:00:00,2024-10-31 13:00:00
27,10,162,3,2024-10-31 13:00:00,2024-10-31 13:00:00
28,10,50,3,2024-10-31 13:00:00,2024-10-31 13:00:00
29,10,179,2,2024-10-31 13:00:00,2024-10-31 13:00:00
30,10,127,2,2024-10-31 13:00:00,2024-10-31 13:00:00
31,11,193,1,2024-10-31 13:00:00,2024-10-31 13:00:00
32,12,179,3,2024-10-31 13:00:00,2024-10-31 13:00:00
33,12,119,1,2024-10-31 13:00:00,2024-10-31 13:00:00
34,13,35,2,2024-10-31 13:00:00,2024-10-31 13:00:00
35,13,171,3,2024-10-31 13:00:00,2024-10-31 13:00:00
36,13,144,3,2024-10-31 13:00:00,2024-10-31 13:00:00
37,13,82,2,2024-10-31 13:00:00,2024-10-31 13:00:00
38,14,41,3,2024-10-31 13:00:00,2024-10-31 13:00:00
39,14,122,2,2024-10-31 13:00:00,2024-10-31 13:00:00
40,14,67,1,2024-10-31 13:00:00,2024-10-31 13:00:00
41,14,164,2,2024-10-31 13:00:00,2024-10-31 13:00:00
42,15,71,2,2024-10-31 13:00:00,2024-10-31 13:00:00
43,15,20,3,2024-10-31 13:00:00,2024-10-31 13:00:00
44,16,86,2,2024-10-31 13:00:00,2024-10-31 13:00:00
45,16,139,1,2024-10-31 13:00:00,2024-10-31 13:00:00
46,16,36,1,2024-10-31 13:00:00,2024-10-31 13:00:00
47,17,181,1,2024-10-31 13:00:00,2024-10-31 13:00:00
48,17,17,2,2024-10-31 13:00:00,2024-10-31 13:00:00
49,18,120,2,2024-10-31 13:00:00,2024-10-31 13:00:00
50,18,16,1,2024-10-31 13:00:00,2024-10-31 13:00:00
51,18,108,2,2024-10-31 13:00:00,2024-10-31 13:00:00
52,18,198,3,2024-10-31 13:00:00,2024-10-31 13:00:00
53,18,179,1,2024-10-31 13:00:00,2024-10-31 13:00:00
54,19,91,2,2024-10-31 13:00:00,2024-10-31 13:00:00
55,20,192,3,2024-10-31 13:00:00,2024-10-31 13:00:00
56,20,140,3,2024-10-31 13:00:00,2024-10-31 13:00:00
57,20,57,2,2024-10-31 13:00:00,2024-10-31 13:00:00
58,20,57,2,2024-10-31 13:00:00,2024-10-31 13:00:00
59,20,112,2,2024-10-31 13:00:00,2024-10-31 13:00:00
60,21,172,3,2024-10-31 13:00:00,2024-10-31 13:00:00
61,21,104,3,2024-10-31 13:00:00,2024-10-31 13:00:00
62,21,43,2,2024-10-31 13:00:00,2024-10-31 13:00:00
63,22,7,2,2024-10-31 13:00:00,2024-10-31 13:00:00
64,22,152,3,2024-10-31 13:00:00,2024-10-31 13:00:00
65,22,170,1,2024-10-31 13:00:00,2024-10-31 13:00:00
66,22,22,3,2024-10-31 13:00:00,2024-10-31 13:00:00
67,22,110,1,2024-10-31 13:00:00,2024-10-31 13:00:00
68,23,67,2,2024-10-31 13:00:00,2024-10-31 13:00:00
69,24,84,2,2024-10-31 13:00:00,2024-10-31 13:00:00
70,24,195,2,2024-10-31 13:00:00,2024-10-31 13:00:00
71,24,72,2,2024-10-31 13:00:00,2024-10-31 13:00:00
