id,user_id,is_refund,created_at,updated_at
674,98,True,2024-10-31 13:00:00,2024-11-01 08:00:00
72,41,True,2024-10-31 13:00:00,2024-11-01 08:00:00
10,59,True,2024-10-31 13:00:00,2024-11-01 08:00:00
968,43,True,2024-10-31 13:00:00,2024-11-01 08:00:00
721,62,True,2024-10-31 13:00:00,2024-11-01 08:00:00
110,56,True,2024-10-31 13:00:00,2024-11-01 08:00:00
639,82,True,2024-10-31 13:00:00,2024-11-01 08:00:00
520,2,True,2024-10-31 13:00:00,2024-11-01 08:00:00
823,21,True,2024-10-31 13:00:00,2024-11-01 08:00:00
462,61,True,2024-10-31 13:00:00,2024-11-01 08:00:00
609,58,True,2024-10-31 13:00:00,2024-11-01 08:00:00
681,40,True,2024-10-31 13:00:00,2024-11-01 08:00:00
13,16,True,2024-10-31 13:00:00,2024-11-01 08:00:00
118,55,True,2024-10-31 13:00:00,2024-11-01 08:00:00
106,61,True,2024-10-31 13:00:00,2024-11-01 08:00:00
771,67,True,2024-10-31 13:00:00,2024-11-01 08:00:00
578,13,True,2024-10-31 13:00:00,2024-11-01 08:00:00
392,60,True,2024-10-31 13:00:00,2024-11-01 08:00:00
910,51,True,2024-10-31 13:00:00,2024-11-01 08:00:00
314,52,True,2024-10-31 13:00:00,2024-11-01 08:00:00
516,4,True,2024-10-31 13:00:00,2024-11-01 08:00:00
594,64,True,2024-10-31 13:00:00,2024-11-01 08:00:00
274,98,True,2024-10-31 13:00:00,2024-11-01 08:00:00
837,72,True,2024-10-31 13:00:00,2024-11-01 08:00:00
840,59,True,2024-10-31 13:00:00,2024-11-01 08:00:00
136,33,True,2024-10-31 13:00:00,2024-11-01 08:00:00
629,24,True,2024-10-31 13:00:00,2024-11-01 08:00:00
863,52,True,2024-10-31 13:00:00,2024-11-01 08:00:00
88,75,True,2024-10-31 13:00:00,2024-11-01 08:00:00
537,37,True,2024-10-31 13:00:00,2024-11-01 08:00:00
884,98,True,2024-10-31 13:00:00,2024-11-01 08:00:00
400,35,True,2024-10-31 13:00:00,2024-11-01 08:00:00
528,6,True,2024-10-31 13:00:00,2024-11-01 08:00:00
789,88,True,2024-10-31 13:00:00,2024-11-01 08:00:00
386,28,True,2024-10-31 13:00:00,2024-11-01 08:00:00
495,56,True,2024-10-31 13:00:00,2024-11-01 08:00:00
262,69,True,2024-10-31 13:00:00,2024-11-01 08:00:00
323,63,True,2024-10-31 13:00:00,2024-11-01 08:00:00
744,40,True,2024-10-31 13:00:00,2024-11-01 08:00:00
284,41,True,2024-10-31 13:00:00,2024-11-01 08:00:00
900,13,True,2024-10-31 13:00:00,2024-11-01 08:00:00
1000,4,True,2024-10-31 13:00:00,2024-11-01 08:00:00
650,6,True,2024-10-31 13:00:00,2024-11-01 08:00:00
509,71,True,2024-10-31 13:00:00,2024-11-01 08:00:00
624,45,True,2024-10-31 13:00:00,2024-11-01 08:00:00
977,16,True,2024-10-31 13:00:00,2024-11-01 08:00:00
824,10,True,2024-10-31 13:00:00,2024-11-01 08:00:00
367,43,True,2024-10-31 13:00:00,2024-11-01 08:00:00
1190,49,False,2024-11-01 08:00:00,2024-11-01 08:00:00
1191,61,True,2024-11-01 08:00:00,2024-11-01 08:00:00
1192,55,False,2024-11-01 08:00:00,2024-11-01 08:00:00
1193,98,False,2024-11-01 08:00:00,2024-11-01 08:00:00
1194,62,True,2024-11-01 08:00:00,2024-11-01 08:00:00
1195,98,True,2024-11-01 08:00:00,2024-11-01 08:00:00
1196,55,False,2024-11-01 08:00:00,2024-11-01 08:00:00
1197,98,True,2024-11-01 08:00:00,2024-11-01 08:00:00
1198,77,False,2024-11-01 08:00:00,2024-11-01 08:00:00
1199,71,True,2024-11-01 08:00:00,2024-11-01 08:00:00
